Localización;Nacionalidad;Fecha;Ambos;Hombres;Mujeres
España;Todas las nacionalidades;31/12/2021;55393;23949;31444
España;Afganistán;31/12/2021;5;4;1
España;Albania;31/12/2021;96;42;54
España;Andorra;31/12/2021;20;6;14
España;Angola;31/12/2021;68;45;23
España;Antigua y Barbuda;31/12/2021;4;1;3
España;Arabia Saudí;31/12/2021;156;122;34
España;Argelia;31/12/2021;529;283;246
España;Argentina;31/12/2021;1452;650;802
España;Armenia;31/12/2021;42;15;27
España;Australia;31/12/2021;143;76;67
España;Azerbaiyán;31/12/2021;66;43;23
España;Bahamas;31/12/2021;4;2;2
España;Bahrein;31/12/2021;14;14;0
España;Bangladés;31/12/2021;36;18;18
España;Barbados;31/12/2021;8;2;6
España;Belice;31/12/2021;1;0;1
España;Benín;31/12/2021;19;15;4
España;Bielorrusia;31/12/2021;132;45;87
España;Bolivia;31/12/2021;552;230;322
España;Bosnia-Herzegovina;31/12/2021;18;6;12
España;Botsuana;31/12/2021;4;1;3
España;Brasil;31/12/2021;1082;469;613
España;Brunei;31/12/2021;1;0;1
España;Burkina Faso;31/12/2021;5;4;1
España;Burundi;31/12/2021;11;10;1
España;Bután;31/12/2021;2;2;0
España;Cabo Verde;31/12/2021;16;8;8
España;Camboya;31/12/2021;0;0;0
España;Camerún;31/12/2021;135;69;66
España;Canadá;31/12/2021;482;209;273
España;Chad;31/12/2021;4;4;0
España;Chile;31/12/2021;2044;934;1110
España;China;31/12/2021;5304;1963;3341
España;Colombia;31/12/2021;4753;2010;2743
España;Comores;31/12/2021;0;0;0
España;Congo;31/12/2021;11;9;2
España;Corea del Norte;31/12/2021;2;1;1
España;Corea del Sur;31/12/2021;455;234;221
España;Costa de Marfil;31/12/2021;41;30;11
España;Costa Rica;31/12/2021;401;172;229
España;Cuba;31/12/2021;1438;634;804
España;Dominica;31/12/2021;4;3;1
España;Ecuador;31/12/2021;2337;1110;1227
España;Egipto;31/12/2021;404;259;145
España;El Salvador;31/12/2021;426;194;232
España;Emiratos Árabes Unidos;31/12/2021;23;15;8
España;Eritrea;31/12/2021;0;0;0
España;Estados Unidos;31/12/2021;6990;2156;4834
España;Etiopía;31/12/2021;31;23;8
España;Filipinas;31/12/2021;706;215;491
España;Fiyi;31/12/2021;0;0;0
España;Gabón;31/12/2021;10;6;4
España;Gambia;31/12/2021;8;6;2
España;Georgia;31/12/2021;114;59;55
España;Ghana;31/12/2021;46;28;18
España;Granada;31/12/2021;3;3;0
España;Guatemala;31/12/2021;363;174;189
España;Guinea;31/12/2021;7;4;3
España;Guinea Bissau;31/12/2021;3;2;1
España;Guinea Ecuatorial;31/12/2021;694;292;402
España;Guyana;31/12/2021;2;1;1
España;Haití;31/12/2021;78;51;27
España;Honduras;31/12/2021;502;233;269
España;India;31/12/2021;1222;729;493
España;Indonesia;31/12/2021;127;74;53
